id,name,tagline,description,longDescription,price,category,imageUrl,features
prod-135,Aura 미니멀 오브제 135,미니멀 디자인과 최첨단 기술의 만남,Aura 미니멀 오브제 135은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 미니멀 오브제 135은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",300000,Home,https://picsum.photos/seed/135/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-136,Aura 고급 오브제 136,고급 디자인과 최첨단 기술의 만남,Aura 고급 오브제 136은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 고급 오브제 136은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",650000,Home,https://picsum.photos/seed/136/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-137,Aura 스마트 태블릿 137,스마트 디자인과 최첨단 기술의 만남,Aura 스마트 태블릿 137은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 스마트 태블릿 137은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",450000,Mobile,https://picsum.photos/seed/137/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-138,Aura 프리미엄 가구 138,프리미엄 디자인과 최첨단 기술의 만남,Aura 프리미엄 가구 138은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 프리미엄 가구 138은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",810000,Home,https://picsum.photos/seed/138/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-139,Aura 스마트 스피커 139,스마트 디자인과 최첨단 기술의 만남,Aura 스마트 스피커 139은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 스마트 스피커 139은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",450000,Audio,https://picsum.photos/seed/139/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-140,Aura 스마트 충전기 140,스마트 디자인과 최첨단 기술의 만남,Aura 스마트 충전기 140은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 스마트 충전기 140은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",870000,Mobile,https://picsum.photos/seed/140/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-141,Aura 미니멀 오브제 141,미니멀 디자인과 최첨단 기술의 만남,Aura 미니멀 오브제 141은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 미니멀 오브제 141은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",400000,Home,https://picsum.photos/seed/141/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-142,Aura 프리미엄 이어버드 142,프리미엄 디자인과 최첨단 기술의 만남,Aura 프리미엄 이어버드 142은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 프리미엄 이어버드 142은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",530000,Audio,https://picsum.photos/seed/142/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-143,Aura 자연스러운 오브제 143,자연스러운 디자인과 최첨단 기술의 만남,Aura 자연스러운 오브제 143은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 자연스러운 오브제 143은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",260000,Home,https://picsum.photos/seed/143/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-144,Aura 진보된 오브제 144,진보된 디자인과 최첨단 기술의 만남,Aura 진보된 오브제 144은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 진보된 오브제 144은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",410000,Home,https://picsum.photos/seed/144/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-145,Aura 현대적인 이어버드 145,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 이어버드 145은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 이어버드 145은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",880000,Audio,https://picsum.photos/seed/145/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-146,Aura 자연스러운 공기청정기 146,자연스러운 디자인과 최첨단 기술의 만남,Aura 자연스러운 공기청정기 146은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 자연스러운 공기청정기 146은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",400000,Home,https://picsum.photos/seed/146/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-147,Aura 클래식 가구 147,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 가구 147은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 가구 147은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",940000,Home,https://picsum.photos/seed/147/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-148,Aura 미니멀 헤드폰 148,미니멀 디자인과 최첨단 기술의 만남,Aura 미니멀 헤드폰 148은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 미니멀 헤드폰 148은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",730000,Audio,https://picsum.photos/seed/148/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-149,Aura 고급 공기청정기 149,고급 디자인과 최첨단 기술의 만남,Aura 고급 공기청정기 149은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 고급 공기청정기 149은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",470000,Home,https://picsum.photos/seed/149/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-150,Aura 우아한 사운드바 150,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 사운드바 150은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 사운드바 150은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",640000,Audio,https://picsum.photos/seed/150/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-151,Aura 현대적인 헤드폰 151,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 헤드폰 151은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 헤드폰 151은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",910000,Audio,https://picsum.photos/seed/151/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-152,Aura 고급 사운드바 152,고급 디자인과 최첨단 기술의 만남,Aura 고급 사운드바 152은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 고급 사운드바 152은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",570000,Audio,https://picsum.photos/seed/152/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-153,Aura 우아한 트래커 153,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 트래커 153은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 트래커 153은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",590000,Wearable,https://picsum.photos/seed/153/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-154,Aura 진보된 램프 154,진보된 디자인과 최첨단 기술의 만남,Aura 진보된 램프 154은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 진보된 램프 154은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",540000,Home,https://picsum.photos/seed/154/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-155,Aura 미니멀 폰 155,미니멀 디자인과 최첨단 기술의 만남,Aura 미니멀 폰 155은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 미니멀 폰 155은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",630000,Mobile,https://picsum.photos/seed/155/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-156,Aura 혁신적인 액세서리 156,혁신적인 디자인과 최첨단 기술의 만남,Aura 혁신적인 액세서리 156은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 혁신적인 액세서리 156은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",230000,Mobile,https://picsum.photos/seed/156/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-157,Aura 현대적인 헤드폰 157,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 헤드폰 157은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 헤드폰 157은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",670000,Audio,https://picsum.photos/seed/157/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-158,Aura 현대적인 충전기 158,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 충전기 158은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 충전기 158은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",450000,Mobile,https://picsum.photos/seed/158/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-159,Aura 현대적인 충전기 159,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 충전기 159은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 충전기 159은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",750000,Mobile,https://picsum.photos/seed/159/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-160,Aura 프리미엄 이어버드 160,프리미엄 디자인과 최첨단 기술의 만남,Aura 프리미엄 이어버드 160은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 프리미엄 이어버드 160은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",460000,Audio,https://picsum.photos/seed/160/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-161,Aura 스마트 공기청정기 161,스마트 디자인과 최첨단 기술의 만남,Aura 스마트 공기청정기 161은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 스마트 공기청정기 161은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",910000,Home,https://picsum.photos/seed/161/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-162,Aura 혁신적인 태블릿 162,혁신적인 디자인과 최첨단 기술의 만남,Aura 혁신적인 태블릿 162은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 혁신적인 태블릿 162은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",940000,Mobile,https://picsum.photos/seed/162/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-163,Aura 진보된 워치 163,진보된 디자인과 최첨단 기술의 만남,Aura 진보된 워치 163은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 진보된 워치 163은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",250000,Wearable,https://picsum.photos/seed/163/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-164,Aura 진보된 가구 164,진보된 디자인과 최첨단 기술의 만남,Aura 진보된 가구 164은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 진보된 가구 164은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",970000,Home,https://picsum.photos/seed/164/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-165,Aura 현대적인 밴드 165,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 밴드 165은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 밴드 165은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",450000,Wearable,https://picsum.photos/seed/165/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-166,Aura 클래식 충전기 166,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 충전기 166은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 충전기 166은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",870000,Mobile,https://picsum.photos/seed/166/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-167,Aura 현대적인 밴드 167,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 밴드 167은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 밴드 167은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",920000,Wearable,https://picsum.photos/seed/167/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-168,Aura 우아한 이어버드 168,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 이어버드 168은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 이어버드 168은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",400000,Audio,https://picsum.photos/seed/168/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-169,Aura 클래식 폰 169,클래식 디자인과 최첨단 기술의 만남,Aura 클래식 폰 169은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 클래식 폰 169은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",760000,Mobile,https://picsum.photos/seed/169/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-170,Aura 현대적인 오브제 170,현대적인 디자인과 최첨단 기술의 만남,Aura 현대적인 오브제 170은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 현대적인 오브제 170은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",300000,Home,https://picsum.photos/seed/170/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-171,Aura 고급 액세서리 171,고급 디자인과 최첨단 기술의 만남,Aura 고급 액세서리 171은(는) 일상에 풍요로움을 더하는 Mobile 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 고급 액세서리 171은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",670000,Mobile,https://picsum.photos/seed/171/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-172,Aura 우아한 램프 172,우아한 디자인과 최첨단 기술의 만남,Aura 우아한 램프 172은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 우아한 램프 172은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",610000,Home,https://picsum.photos/seed/172/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-173,Aura 고급 밴드 173,고급 디자인과 최첨단 기술의 만남,Aura 고급 밴드 173은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 고급 밴드 173은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",540000,Wearable,https://picsum.photos/seed/173/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-174,Aura 미니멀 워치 174,미니멀 디자인과 최첨단 기술의 만남,Aura 미니멀 워치 174은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 미니멀 워치 174은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",430000,Wearable,https://picsum.photos/seed/174/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
